iter	Passed	Remaining
218	559	717
219	562	715
220	564	713
221	566	709
222	569	706
223	572	704
224	574	702
225	577	699
226	579	696
227	581	694
228	584	691
229	586	688
230	589	686
231	592	683
232	594	681
233	597	678
234	599	676
235	602	673
236	605	671
237	607	668
238	609	665
239	612	663
240	614	660
241	617	658
242	620	656
243	622	653
244	625	650
245	627	648
246	630	645
247	633	643
248	635	640
249	638	638
250	640	635
251	642	632
252	645	629
253	647	627
254	650	624
255	652	621
256	654	619
257	657	616
258	659	614
259	662	611
260	665	609
261	667	606
262	670	603
263	672	601
264	675	598
265	678	596
266	680	594
267	683	591
268	685	589
269	688	586
270	690	583
271	693	581
272	695	578
273	698	575
274	700	573
275	703	570
276	705	568
277	708	565
278	710	562
279	713	560
280	715	557
281	718	555
282	720	552
283	722	549
284	725	547
285	727	544
286	730	541
287	732	539
288	735	536
289	737	534
290	740	531
291	743	529
292	745	526
293	748	524
294	750	521
295	752	518
296	755	516
297	758	513
298	760	511
299	763	508
300	765	506
301	768	503
302	770	501
303	772	498
304	775	495
305	777	493
306	780	490
307	782	487
308	785	485
309	788	483
310	790	480
311	793	478
312	796	475
313	798	473
314	801	470
315	803	467
316	805	465
317	808	462
318	811	460
319	814	457
320	816	455
321	818	452
322	821	450
323	824	447
324	826	445
325	829	442
326	831	440
327	834	437
328	836	435
329	839	432
330	841	429
331	844	427
332	846	424
333	849	422
334	851	419
335	854	416
336	856	414
337	859	411
338	861	409
339	864	406
340	867	404
341	869	401
342	872	399
343	875	396
344	877	394
345	880	391
346	883	389
347	886	387
348	888	384
349	891	381
350	893	379
351	896	376
352	898	374
353	900	371
354	903	369
355	905	366
356	908	363
357	911	361
358	913	358
359	915	356
360	918	353
361	921	351
362	923	348
363	926	346
364	928	343
365	931	340
366	933	338
367	936	335
368	938	333
369	941	330
370	943	328
371	946	325
372	948	322
373	951	320
374	954	318
375	956	315
376	959	313
377	962	310
378	965	308
379	967	305
380	970	303
381	973	300
382	976	298
383	979	295
384	981	293
385	984	290
386	986	288
387	989	285
388	992	283
389	994	280
390	997	278
391	999	275
392	1002	272
393	1005	270
394	1008	267
395	1010	265
396	1013	262
397	1015	260
398	1018	257
399	1021	255
400	1024	252
401	1026	250
402	1029	247
403	1032	245
404	1034	242
405	1037	240
406	1039	237
407	1042	235
408	1044	232
409	1047	230
410	1050	227
411	1053	224
412	1055	222
413	1058	219
414	1061	217
415	1064	214
416	1066	212
417	1069	209
418	1072	207
419	1074	204
420	1077	202
421	1080	199
422	1082	197
423	1085	194
424	1088	192
425	1090	189
426	1093	186
427	1096	184
428	1099	181
429	1101	179
430	1104	176
431	1106	174
432	1109	171
433	1111	169
434	1114	166
435	1117	164
436	1120	161
437	1122	158
438	1125	156
439	1128	153
440	1130	151
441	1132	148
442	1135	146
443	1137	143
444	1140	140
445	1142	138
446	1145	135
447	1148	133
448	1150	130
449	1153	128
450	1156	125
451	1158	123
452	1161	120
453	1163	117
454	1166	115
455	1169	112
456	1171	110
457	1174	107
458	1177	105
459	1179	102
460	1182	100
461	1184	97
462	1187	94
463	1190	92
464	1192	89
465	1195	87
466	1197	84
467	1200	82
468	1203	79
469	1205	76
470	1208	74
471	1211	71
472	1213	69
473	1216	66
474	1218	64
475	1221	61
476	1224	59
477	1226	56
478	1229	53
479	1232	51
480	1234	48
481	1237	46
482	1239	43
483	1242	41
484	1245	38
485	1247	35
486	1250	33
487	1253	30
488	1256	28
489	1258	25
490	1261	23
491	1263	20
492	1266	17
493	1269	15
494	1272	12
495	1275	10
496	1278	7
497	1280	5
498	1283	2
499	1286	0
