iter	RMSE
173	12733.06106
174	12695.47013
175	12648.31809
176	12613.18133
177	12560.36963
178	12523.87568
179	12463.27721
180	12443.75866
181	12415.15484
182	12389.38107
183	12363.52726
184	12305.39786
185	12232.8901
186	12189.77382
187	12127.81728
188	12080.04507
189	12065.41008
190	12007.96105
191	11993.91347
192	11960.23165
193	11927.36923
194	11898.41318
195	11872.22102
196	11817.84381
197	11772.84261
198	11752.19875
199	11726.4692
200	11701.77539
201	11664.95985
202	11643.23642
203	11620.244
204	11587.93378
205	11566.79873
206	11557.23452
207	11526.5142
208	11502.78786
209	11466.43552
210	11443.35496
211	11403.13424
212	11387.79466
213	11352.88451
214	11331.70973
215	11312.66962
216	11292.84211
217	11250.12629
218	11215.58184
219	11185.64152
220	11151.27113
221	11127.63161
222	11108.43572
223	11095.8831
224	11051.66733
225	11040.74449
226	11009.76116
227	10994.07974
228	10972.23412
229	10946.39544
230	10929.58895
231	10900.33233
232	10884.59347
233	10845.96472
234	10817.56391
235	10792.41413
236	10762.33097
237	10746.26344
238	10701.83838
239	10634.61305
240	10619.61151
241	10581.40847
242	10543.29813
243	10495.84213
244	10445.84755
245	10435.62187
246	10413.80543
247	10383.21928
248	10353.0589
249	10333.63641
250	10320.61753
251	10263.10376
252	10255.53168
253	10215.07945
254	10193.91441
255	10171.82556
256	10158.3981
257	10136.20937
258	10107.19674
259	10057.27132
260	10042.31717
261	10029.89301
262	10008.12097
263	9969.224759
264	9918.673474
265	9892.291028
266	9849.735157
267	9797.527751
268	9780.760999
269	9764.152353
270	9730.406704
271	9708.306427
272	9682.437615
273	9653.336292
274	9639.209062
275	9617.703418
276	9596.471035
277	9564.812994
278	9545.290181
279	9518.472258
280	9495.856916
281	9465.357612
282	9410.972112
283	9386.027869
284	9354.957714
285	9336.282517
286	9329.404887
287	9304.606653
288	9290.574517
289	9275.552887
290	9243.057393
291	9225.610865
292	9208.798309
293	9170.524938
294	9147.350274
295	9127.019845
296	9106.054443
297	9054.384355
298	9032.904898
299	9011.449747
300	9000.502117
301	8971.645125
302	8963.351787
303	8940.09359
304	8925.526227
305	8894.479449
306	8883.910757
307	8866.06989
308	8850.342474
309	8821.275568
310	8787.830029
311	8778.251675
312	8740.056701
313	8729.382612
314	8715.174529
315	8693.011734
316	8658.393325
317	8648.331217
318	8618.688991
319	8565.37093
320	8529.024415
321	8506.948957
322	8493.199585
323	8472.926417
324	8464.509124
325	8451.430301
326	8438.766152
327	8411.594089
328	8402.564342
329	8382.347428
330	8364.090579
331	8330.488497
332	8297.462735
333	8289.362095
334	8268.927438
335	8251.03412
336	8233.42381
337	8206.4544
338	8185.192446
339	8157.60329
340	8145.501682
341	8127.337458
342	8113.530903
343	8083.972121
344	8060.090091
345	8027.645481
346	8014.08904
347	7996.079602
348	7975.340477
349	7958.258346
350	7927.346533
351	7902.284833
352	7875.49541
353	7848.199267
354	7826.092666
355	7806.649173
356	7797.323264
357	7793.443652
358	7786.174517
359	7770.595689
360	7747.0227
361	7722.762212
362	7701.660376
363	7690.771023
364	7674.835744
365	7657.364165
366	7642.025675
367	7632.757931
368	7604.2465
369	7581.810603
370	7571.975716
371	7559.792322
372	7538.352613
373	7511.532332
374	7489.403412
375	7468.954498
376	7449.44564
377	7428.379679
378	7405.46659
379	7392.776279
380	7360.834514
381	7347.694311
382	7336.794338
383	7312.861603
384	7297.835335
385	7289.541165
386	7273.231589
387	7250.997168
388	7230.042367
389	7208.733925
390	7198.783726
391	7185.160172
392	7162.030649
393	7144.135244
394	7128.66731
395	7120.853762
396	7099.529002
397	7086.554216
398	7067.883074
399	7042.802281
400	7027.31299
401	7005.654508
402	6987.312212
403	6964.91349
404	6950.193889
405	6936.990849
406	6902.133889
407	6885.878755
408	6869.759881
409	6844.883273
410	6839.04489
411	6821.370453
412	6806.756307
413	6788.090212
414	6775.629918
415	6762.505113
416	6741.496391
417	6728.02481
418	6720.163776
419	6693.148277
420	6681.980638
421	6672.358526
422	6656.07494
423	6636.781197
424	6621.003892
425	6606.996006
426	6586.181622
427	6576.379448
428	6569.779806
429	6557.475558
430	6541.622886
431	6527.956692
432	6521.736618
433	6502.395719
434	6488.815339
435	6475.394416
436	6471.493566
437	6443.520246
438	6433.083771
439	6421.092093
440	6407.934219
441	6398.697072
442	6386.553064
443	6376.307961
444	6363.741404
445	6360.923188
446	6357.665053
447	6337.270434
448	6319.24966
449	6303.333487
450	6289.505441
451	6284.612354
452	6272.383978
453	6264.525993
454	6257.639353
455	6246.904382
456	6227.819808
457	6218.738372
458	6200.758245
459	6187.059963
460	6170.830814
461	6159.750868
462	6149.707039
463	6140.147142
464	6132.682663
465	6118.283069
466	6104.541438
467	6081.337733
468	6065.389139
469	6044.308805
470	6022.670687
471	6006.00501
472	6000.667825
473	5986.523616
474	5981.465113
475	5969.399959
476	5957.116093
477	5948.032295
478	5932.947268
479	5912.586483
480	5908.231671
481	5891.369319
482	5883.662971
483	5872.377533
484	5853.638573
485	5837.461914
486	5824.37213
487	5808.569111
488	5795.602558
489	5782.621896
490	5772.922371
491	5764.863563
492	5757.270216
493	5738.992359
494	5728.93653
495	5722.752136
496	5714.065105
497	5704.8641
498	5679.359053
499	5664.277101
